platform;assignedcategory;checked;category
jquery-part2.codeschool.com;PACKAGE;0;TRAINING
geniuscarrier.com;NEWS;-1; 
floating-point-gui.de;PACKAGE;-1; 
js.checkio.org;PACKAGE;-1; 
gruntjs.com;NEWS;0;PACKAGE
cryto.net;NEWS;-1; 
interactjs.io;PACKAGE;1;PACKAGE
sizzlejs.com;NEWS;-1; 
photos-4.dropbox.com;NOCLASS;1;NOCLASS
content.pivotal.io;NEWS;-1; 
www.promisejs.org;NEWS;0;PACKAGE
jonisalonen.com;PACKAGE;-1; 
infospace.ischool.syr.edu;NEWS;1;NEWS
www.chartjs.org;PACKAGE;1;PACKAGE
software.intel.com;NEWS;0;BUSINESS
www.brightcherry.co.uk;NEWS;1;NEWS
requirejs.org;NEWS;0;PACKAGE
inimino.org;NEWS;-1; 
codemahal.com;TRAINING;1;TRAINING
secure.surfbuyermac.com;PACKAGE;-1; 
blog.chewxy.com;NEWS;1;NEWS
static.woopra.com;PACKAGE;-1; 
Code Conventions for the JavaScript Programming Language;PACKAGE;0;NOCLASS
benohead.com;NEWS;-1; 
jsforcats.com;NEWS;-1; 
emberjs.com;PACKAGE;1;PACKAGE
blogs.msdn.microsoft.com;NEWS;1;NEWS
earthintegrate.com;NEWS;-1; 
blog.javascripting.com;NEWS;1;NEWS
www.mindstick.com;NEWS;-1; 
www.natashatherobot.com;NEWS;-1; 
127.0.0.1:9222;PACKAGE;0;NOCLASS
codereview.stackexchange.com;NEWS;0;COMMUITY
prototypejs.org;PACKAGE;1;PACKAGE
jsrocks.org;NEWS;-1; 
billpatrianakos.me;NEWS;-1; 
www.facebook.com;NEWS;0;COMMUITY
exploringjs.com;NEWS;1;NEWS
