;cossim;platform;pred_dtada;pred_dth;pred_svch;pred_agg1;pred_agg2;pred_agg3;checked;category;cossim;pred_dtada;pred_dth;pred_svch;pred_agg1;pred_agg2;pred_agg3;average reliability
80;PACKAGE;calendly.com;PACKAGE;PACKAGE;REPL;PACKAGE;PACKAGE;PACKAGE;1;PACKAGE;1;1;1;0;1;1;1;85.71%
81;NEWS;remotejunior.com;PACKAGE;NEWS;TRAINING;TRAINING;NEWS;NEWS;1;BUSINESS;0;0;0;0;0;0;0;0.00%
82;PAAS;www.dramafever.com;NEWS;PACKAGE;NEWS;NEWS;NEWS;PAAS;0;NEWS;0;1;0;1;1;1;0;57.14%
83;NEWS;bradfrost.github.io;NOCLASS;BUSINESS;NEWS;NEWS;BUSINESS;BUSINESS;1;NOCLASS;0;1;0;0;0;0;0;14.29%
84;NOCLASS;www.flexboxdefense.com;PACKAGE;PACKAGE;NOCLASS;PACKAGE;PACKAGE;PACKAGE;0;PACKAGE;0;1;1;0;1;1;1;71.43%
85;PACKAGE;cheerio.js.org;PACKAGE;NEWS;PACKAGE;PACKAGE;PACKAGE;NEWS;0;PACKAGE;1;1;0;1;1;1;0;71.43%
86;TRAINING;lingvist.com;TRAINING;TRAINING;TRAINING;TRAINING;TRAINING;TRAINING;0;TRAINING;1;1;1;1;1;1;1;100.00%
87;NOCLASS;erikbern.com;NOCLASS;NOCLASS;NOCLASS;NOCLASS;NOCLASS;NOCLASS;0;NOCLASS;1;1;1;1;1;1;1;100.00%
88;TRAINING;projecteuler.net;TRAINING;PACKAGE;TRAINING;TRAINING;TRAINING;PACKAGE;0;TRAINING;1;1;0;1;1;1;0;71.43%
89;REPL;codeanywhere.com;NEWS;DOCS;REPL;REPL;DOCS;REPL;0;REPL;1;0;0;1;1;0;1;57.14%
90;PACKAGE;b-ok.org;PACKAGE;PACKAGE;PACKAGE;PACKAGE;PACKAGE;PACKAGE;1;SENGINE;0;0;0;0;0;0;0;0.00%
91;NEWS;collectui.com;PACKAGE;PACKAGE;NOCLASS;PACKAGE;PACKAGE;PACKAGE;1;THEME;0;0;0;0;0;0;0;0.00%
92;NEWS;msdn.microsoft.com;PACKAGE;PACKAGE;TRAINING;PACKAGE;PACKAGE;PACKAGE;1;PACKAGE;0;1;1;0;1;1;1;71.43%
93;NOCLASS;www.getwox.com;PACKAGE;PACKAGE;NOCLASS;PACKAGE;PACKAGE;PACKAGE;1;PACKAGE;0;1;1;0;1;1;1;71.43%
94;TRAINING;dev.to;NEWS;DOCS;DOCS;DOCS;DOCS;DOCS;0;NEWS;0;1;0;0;0;0;0;14.29%
