;cossim;platform;pred_dtada;pred_dth;pred_svch;pred_agg1;pred_agg2;pred_agg3
495;PACKAGE;keystonejs.com;NEWS;PACKAGE;PACKAGE;PACKAGE;PACKAGE;PACKAGE
497;TRAINING;try.jquery.com;TRAINING;NEWS;TRAINING;TRAINING;TRAINING;TRAINING
500;COMMUITY;www.bing.com;NOCLASS;PACKAGE;NOCLASS;NOCLASS;NOCLASS;NOCLASS
501;TRAINING;blog.thefirehoseproject.com;NOCLASS;BUSINESS;NEWS;NEWS;BUSINESS;BUSINESS
502;NEWS;blog.udemy.com;NEWS;NEWS;NEWS;NEWS;NEWS;NEWS
505;THEME;bootstraptour.com;PACKAGE;PACKAGE;THEME;PACKAGE;PACKAGE;PACKAGE
507;NEWS;www.manning.com;NEWS;NEWS;NEWS;NEWS;NEWS;NEWS
508;PACKAGE;strongloop.com;PACKAGE;PACKAGE;PACKAGE;PACKAGE;PACKAGE;PACKAGE
512;NEWS;jsconsole.com;NEWS;NEWS;PACKAGE;NEWS;NEWS;NEWS
517;PACKAGE;quotes.rest;PACKAGE;COMMUITY;PACKAGE;PACKAGE;PACKAGE;PACKAGE
527;PACKAGE;homezone.com.ua;NEWS;NEWS;PACKAGE;NEWS;NEWS;NEWS
530;TRAINING;www.barnesandnoble.com;NEWS;NEWS;NEWS;NEWS;NEWS;NEWS
538;NEWS;desple.com;NEWS;NEWS;NEWS;NEWS;NEWS;NEWS
542;NEWS;www.quora.com;NEWS;PACKAGE;NEWS;NEWS;NEWS;NEWS
543;NEWS;friendlybit.com;NEWS;NEWS;NEWS;NEWS;NEWS;NEWS
547;NEWS;www.nikola-breznjak.com;NEWS;NEWS;NEWS;NEWS;NEWS;NEWS
556;TRAINING;www.newthinktank.com;TRAINING;TRAINING;TRAINING;TRAINING;TRAINING;TRAINING
557;NEWS;ignaciothayer.com;NEWS;NEWS;NEWS;NEWS;NEWS;NEWS
561;NEWS;forums.asp.net;PACKAGE;COMMUITY;PACKAGE;PACKAGE;PACKAGE;PACKAGE
563;BUSINESS;ryanmalm.com;NOCLASS;PACKAGE;PACKAGE;PACKAGE;PACKAGE;PACKAGE
564;NEWS;claudiocalautti.cc;NEWS;COMMUITY;NEWS;NEWS;NEWS;NEWS
566;NEWS;www.webdeveasy.com;NEWS;NEWS;NEWS;NEWS;NEWS;NEWS
570;NEWS;jonsuh.com;NEWS;BUSINESS;NEWS;NEWS;NEWS;NEWS
572;TRAINING;www.c-sharpcorner.com;PACKAGE;NEWS;TRAINING;TRAINING;NEWS;NEWS
576;NOCLASS;wind-bow.gomix.me;NOCLASS;NEWS;NOCLASS;NOCLASS;NOCLASS;NOCLASS
584;TRAINING;www.plus2net.com;TRAINING;TRAINING;TRAINING;TRAINING;TRAINING;TRAINING
590;PACKAGE;port-80-jico6278fu.treehouse-app.com;PACKAGE;NOCLASS;PACKAGE;PACKAGE;PACKAGE;PACKAGE
591;DOCS;html5demos.com;DOCS;NOCLASS;NOCLASS;NOCLASS;NOCLASS;NOCLASS
598;PACKAGE;www.simpleweatherjs.com;PACKAGE;PACKAGE;PACKAGE;PACKAGE;PACKAGE;PACKAGE
601;PACKAGE;code-maven.com;NEWS;REPL;PACKAGE;PACKAGE;REPL;REPL
602;NEWS;paulund.co.uk;TRAINING;TRAINING;NEWS;NEWS;TRAINING;TRAINING
604;TRAINING;www.htmlgoodies.com;TRAINING;TRAINING;TRAINING;TRAINING;TRAINING;TRAINING
609;TRAINING;www.codeconquest.com;NEWS;NEWS;TRAINING;NEWS;NEWS;NEWS
614;PACKAGE;www.metaweather.com;PACKAGE;PACKAGE;PACKAGE;PACKAGE;PACKAGE;PACKAGE
